,B3LYP,B3PW91,B97-1,B97-2,B97-D3(0),BLYP,BMK,BP86,HCTH/407,HSE-HJS,M05,M05-2X,M06,M06-2X,M06-L,M08-HX,M11,M11-L,MN12-L,MN12-SX,MN15,MN15-L,N12,N12-SX,OLYP,PBE,PBE0,PW6B95,PW91,revPBE,revTPSS,RPBE,SOGGA11-X,τ-HCTH,τ-HCTHh,TPSS,TPSSh,B97M-V,B97M-rV,ωB97X-V,ωB97M-V,B3LYP-D3(BJ),PBE-D3(BJ),PBE0-D3(BJ),PW6B95-D3(BJ),SCAN-D3(BJ),SVWN5,HF,revPBE-D3(BJ),M06-L-D3(0),B2PLYP-D3(BJ),DSD-PBEP86-D3(BJ),PWPB95-D3(BJ),revTPSS-D3(BJ),M11-D3(BJ),M11-L-D3(0),M06-D3(0),M06-2X-D3(0),N12-D3(0),N12-SX-D3(BJ)
,3,3,10,9,9,1,17,1,15,1,22,19,33,29,34,47,40,44,58,58,59,58,21,26,1,1,1,6,1,1,1,1,21,16,17,1,1,12,12,10,12,6,3,4,9,2,1,1,4,35,5,7,10,6,46,50,39,35,27,32
MN_NCCE30_16,0.477848103,0.575614006,0.340140626,0.534835333,0.309989446,0.549133126,0.661770991,0.016942743,0.208207486,0.443648863,0.311558218,0.090235794,0.101468205,0.101970213,0.30609889,0.127447078,0.409386872,0.285642097,0.410139882,0.490774789,0.121699723,0.440899746,0.37443462,0.118034443,1.879201202,0.810992632,0.316452789,0.243096987,1.04511624,0.607742467,0.111320097,0.427208127,0.342243409,0.246485535,0.204003176,0.158132268,0.007718361,0.469082681,0.500187424,0.110457084,0.049353,0.386853023,0.882534933,0.393146939,0.177842326,1.034337517,3.337594869,2.535497265,0.512323448,0.27366295,0.415410958,0.440122029,0.067081754,1.049076,0.2317021,0.3197091,0.2228914,0.0852096,1.0327474,0.9413892
MN_PA8_2,1.33555878,0.754309744,0.480254161,1.709624676,1.709624676,2.840921496,1.145153724,1.124841258,1.030940811,0.149177715,1.95189812,1.585665042,0.949816448,1.067574787,0.31411218,0.181067722,1.180131076,2.301420633,2.314159066,0.18369071,0.696984286,1.073062729,0.228852532,1.458688596,0.365147487,1.408192947,0.35247808,0.313949028,1.420548599,0.240737553,0.158376997,0.333671636,0.451222897,1.514103916,0.690077922,0.420889112,0.899835356,0.254371817,0.26985397,0.100569236,2.637764,0.912278859,1.129917806,0.587241747,0.196353841,0.023505546,4.188760627,2.261823148,0.428450595,2.77007573,0.527540541,0.451823702,0.623359835,0.0521395,1.1709211,2.3143886,0.9495042,1.0675577,0.2569653,1.5627884
MGCDB84_Butanediol65_5,0.832169232,0.632723621,0.661708975,0.746957772,0.298865523,1.096196364,0.051415135,0.813512684,1.39275133,0.537883843,0.902935737,0.555593379,0.133834429,0.524790632,0.397115352,0.812496835,1.17986995,0.019914435,1.348094077,0.54180461,1.021841095,1.296348263,0.810428789,0.446902809,1.375461184,0.775257634,0.513276497,0.430675627,0.776679947,0.964874063,0.154239783,1.018551162,0.476710075,1.380930118,0.763274399,0.507022988,0.437063586,0.063936397,0.059760321,0.065030209,0.056953,0.544949431,0.612911942,0.390552061,0.482196493,0.097199474,0.45513291,0.443762814,0.466584032,0.388573414,0.320867897,0.077221136,0.484720345,0.0244873,1.1824051,0.2897057,0.1719054,0.5163381,0.2619985,0.3632119
MGCDB84_NHTBH38_38,0.4205091,0.30044309,0.22854154,0.06670728,0.71580925,1.22792202,1.59615342,2.237085,1.19897099,0.39229667,0.22124097,0.28944546,1.11935545,0.06965549,0.12137846,1.60501392,0.52706454,0.79556409,2.13680858,1.0040379,0.74336632,0.94044536,0.50013397,1.83287605,1.97136516,2.4347621,0.41334127,0.02055258,2.06405433,2.513176,1.60516316,2.5652645,0.21066687,0.78203065,0.29648457,0.94431321,0.31548706,0.64237691,0.64031278,0.25207679,1.035045,0.52043428,2.37798307,0.36469542,0.00601237,0.78123903,2.29082497,4.54121809,2.36602539,0.12145022,0.441922323,0.520853798,0.038790996,1.5403164,0.5322227,0.7539728,1.1202089,0.069712,0.5901627,1.8752266
MGCDB84_RG10_268,0.030617842,0.032180466,0.008521225,0.009124701,0.012941248,0.041532742,0.021139186,0.04890554,0.009475622,0.008045133,0.013914732,0.022114398,0.02932858,0.007697825,0.000856008,0.003908672,0.014857897,0.001012841,0.0130833,0.018379104,0.014943471,0.006432371,0.015496934,0.015890571,0.005085566,0.002474669,0.009400616,0.006789191,0.026526624,0.002320929,0.004553796,0.002177122,0.005945549,0.003875163,0.007880224,0.003233014,0.006188019,0.006660426,0.007779527,0.001023195,0.007026,0.013120103,0.011368065,0.004782637,0.017720911,0.001450048,0.003903257,0.016980304,0.017062935,0.010515898,0.010647407,0.006003822,0.006998185,0.0199152,0.0107352,0.0025891,0.0158497,0.0029573,0.0362173,0.0312645
MGCDB84_RG10_457,0.125745456,0.136869693,0.044471241,0.060544646,0.037384071,0.156935502,0.17410071,0.182820457,0.056878383,0.049473747,0.06184723,0.071698941,0.025220152,0.01012949,0.045573148,0.031591734,0.030064502,0.128125662,0.079663605,0.058052366,0.062131366,0.049378114,0.132912806,0.130492816,0.035121663,0.03602672,0.054377169,0.00583887,0.055495038,0.050228076,0.050854393,0.013718004,0.082918497,0.002425406,0.054041577,0.043255818,0.049689547,0.007676744,0.011941549,0.004896601,0.006561,0.021032722,0.037232219,0.025446039,0.059375097,0.008689271,0.028151413,0.088798324,0.06543002,0.027397533,0.021180205,0.015337984,0.023115829,0.1376828,0.0782258,0.1579323,0.0277793,0.0040334,0.2472198,0.232074
MGCDB84_S66x8_35,1.167662642,1.812641755,0.639959406,1.737560306,0.415659393,1.744677143,1.395303887,1.682418537,1.480625098,0.602179318,0.408958476,0.109370004,0.816325783,0.19423489,0.632358886,0.428315261,0.637402431,1.769578351,1.742135792,1.196975493,0.474386946,1.477678188,1.244798369,0.421942588,3.478850474,0.645232306,0.642674138,0.93074392,0.293629697,2.411012789,1.216216691,2.137858343,1.137986149,1.383216987,1.008063068,1.246006638,1.197561963,0.17694738,0.13158315,0.05948645,0.075786,0.167016057,0.247606884,0.185813733,0.420818203,0.44232705,2.570492147,2.109359058,0.583357845,0.487567472,0.342508288,0.349088027,0.326338637,0.2054252,0.4901888,1.1248442,0.4226643,0.0702077,0.4936526,0.3637991
MGCDB84_YMPJ519_33,0.47284015,0.78678045,0.10380583,0.36533277,0.57669324,0.03242002,0.35447949,0.48681642,0.14329348,0.8132072,0.46802595,0.55125706,0.31906857,0.42261698,0.671661,0.07918693,0.2297345,0.21928119,0.41435363,0.37368178,0.02325468,1.00948156,1.1437851,1.06719029,0.31839555,0.40160132,0.82931562,0.08655897,0.46033269,0.25647562,0.29367839,0.51637486,0.0511527,0.28220803,0.47324414,0.02453053,0.18398692,0.11937026,0.12210174,0.11828944,0.04878,0.26449697,0.26811462,0.70051727,0.16832762,0.64643308,2.60875284,0.20137263,0.45772857,0.74562638,0.298416738,0.162728639,0.201678969,0.4448077,0.2168392,0.0698525,0.181688,0.4810318,0.6710575,0.9520926
MGCDB84_YMPJ519_122,0.158265398,0.04845795,0.072933832,0.058239499,0.247453524,0.057596935,0.141689421,0.074447636,0.183398339,0.196268691,0.223595343,0.135878996,0.235317534,0.056457566,0.299884183,0.30724657,0.133749606,0.527327511,0.006194369,0.107126191,0.0255718,0.186944207,0.408624557,0.397187004,0.374968832,0.179141384,0.200594553,0.094966444,0.230827459,0.194234487,0.149510699,0.209669275,0.127719302,0.078603751,0.095399676,0.120989325,0.125147643,0.038024908,0.044848697,0.086142029,0.03426,0.03052684,0.082938711,0.073841243,0.024923708,0.16700179,0.996113133,0.260963973,0.223199392,0.356818989,0.017050326,0.003660722,0.089077383,0.0285019,0.0779578,0.50325,0.322284,0.0066459,0.3715325,0.218121
MGCDB84_YMPJ519_283,0.61230966,0.591108875,0.352157086,0.459454872,0.429903255,0.587596705,0.350102871,0.605586022,0.587643956,0.569776564,0.403093349,0.248696143,0.007473629,0.188789675,0.424939384,0.079419664,0.037421269,0.840917565,0.839385187,0.438751056,0.409031704,1.207887317,0.967509405,0.853893664,0.488787114,0.592553277,0.557209745,0.048173035,0.614665582,0.370974401,0.226607997,0.295668304,0.376854542,0.660262305,0.458166031,0.392016113,0.393625235,0.263425592,0.274985321,0.155107977,0.258557,0.346862474,0.443493695,0.417953105,0.02439486,0.276541768,1.333910445,0.045226062,0.072335248,0.391648937,0.257592768,0.080927661,0.112608974,0.047906,0.0409541,0.8806954,0.0502321,0.1576841,0.8649493,0.7289566
MGCDB84_YMPJ519_465,1.242994649,1.134170132,0.742509638,1.251129494,0.35780119,1.076559112,0.428241648,0.632229362,1.686373409,0.868277288,0.364585829,0.794160949,0.033121444,0.361693791,0.679046116,0.521913972,0.208881611,0.713619254,0.938126277,0.235314131,0.5654177,0.960666795,1.099437167,0.883915766,2.04581562,0.524123656,0.866243216,0.132146773,0.526579791,1.092841478,0.564952562,1.100208941,0.479483258,1.191257683,0.774733757,0.651061675,0.783568463,0.047936971,0.073855372,0.029789584,0.200655,0.175418864,0.377011763,0.012859346,0.430377905,0.116807618,0.328286754,2.684322035,0.680346112,0.729266096,0.015813241,0.030047804,0.365997833,0.4952364,0.3372637,1.3663416,0.1313863,0.3989867,0.4664237,0.026286
