,DoF,wMUE,AIC,VCC,CVC,AVG ranking,Ref
DSD-PBEP86-D3(BJ),7,2.14,2.29 (1),3.61 (1),2.3 (1),1,54
PWPB95-D3(BJ),10,2.69,2.97 (2),4.99 (2),2.85 (2),2,34;55
B2PLYP-D3(BJ),5,3.33,3.5 (3),5.21 (3),3.47 (3),3,55;56
wB97M-V,12,3.43,3.87 (4),6.76 (5),3.76 (4),4.33,57
PW6B95-D3(BJ),9,3.75,4.11 (5),6.76 (4),3.98 (5),4.67,58;59
PW6B95,6,5.27,5.6 (6),8.58 (9),5.43 (8),7.67,59
PBE0-D3(BJ),4,5.45,5.68 (7),8.19 (8),5.53 (9),8,58;60
HSE-HJS,1,5.7,5.75 (9),7.23 (6),5.73 (15),10,61;62
B3LYP-D3(BJ),6,5.42,5.76 (10),8.82 (11),5.63 (13),11.33,43;46;58;63;64;65
B97M-rV,12,5.05,5.69 (8),9.93 (16),5.53 (10),11.33,66;67
PBE0,1,5.74,5.79 (12),7.28 (7),5.76 (16),11.67,60
B97M-V,12,5.12,5.77 (11),10.07 (17),5.61 (11),13,68;69
wB97X-V,10,5.33,5.89 (13),9.89 (15),5.7 (14),14,70
SCAN-D3(BJ),2,6.32,6.45 (14),8.58 (10),6.35 (24),16,21;58
M06-2X,29,4.86,6.5 (15),14.37 (34),5.36 (7),18.67,26
revPBE-D3(BJ),4,6.49,6.76 (17),9.74 (14),6.6 (26),19,58;71
B97-1,10,5.95,6.58 (16),11.05 (21),6.34 (23),20,72
M05,22,5.47,6.82 (19),13.84 (29),6.1 (18),22,22
M05-2X,19,5.82,7.05 (20),13.74 (28),6.26 (19),22.33,23
MN15,59,3.68,6.76 (18),20.16 (44),5.35 (6),22.67,32
BMK,17,6.04,7.16 (23),13.57 (27),6.27 (20),23.33,73
M06-2X-D3(0),35,5.03,7.16 (22),16.89 (38),5.62 (12),24,26;74
PBE,1,7.41,7.48 (25),9.39 (12),7.43 (35),24,20
revTPSS-D3(BJ),6,6.76,7.17 (24),10.99 (20),6.99 (31),25,58;75
N12-SX,26,5.51,7.15 (21),15.26 (37),5.97 (17),25,30
PW91,1,7.56,7.64 (28),9.59 (13),7.58 (37),26,76;77
t-HCTHh,17,6.36,7.54 (26),14.28 (32),6.98 (30),29.33,78
TPSSh,1,8.04,8.12 (33),10.2 (18),8.07 (41),30.67,79
PBE-D3(BJ),3,7.81,8.05 (31),11.19 (23),7.87 (39),31,20;58
B97-D3(0),9,7.23,7.91 (30),13.02 (26),7.61 (38),31.33,58;75
M06-D3(0),39,5.09,7.56 (27),18.58 (41),6.63 (27),31.67,26;58
B3PW91,3,7.82,8.06 (32),11.2 (24),7.9 (40),32,46;63;76;77
M06,33,5.58,7.78 (29),17.98 (40),6.85 (29),32.67,26
TPSS,1,8.39,8.48 (37),10.64 (19),8.43 (44),33.33,78
M11-D3(BJ),46,5.18,8.28 (34),21.81 (49),6.29 (22),35,68;79
M08-HX,47,5.24,8.46 (36),22.5 (50),6.29 (21),35.67,27
revTPSS,1,8.79,8.88 (39),11.15 (22),8.83 (47),36,75
M11,40,5.6,8.4 (35),20.86 (46),6.64 (28),36.33,79
N12,21,7.19,8.88 (38),17.78 (39),7.55 (36),37.67,30
BP86,1,9.04,9.13 (41),11.47 (25),9.07 (48),38,63;80
N12-SX-D3(BJ),32,6.61,9.13 (40),20.85 (45),7.2 (33),39.33,30;58
B97-2,9,8.43,9.22 (42),15.17 (36),8.72 (46),41.33,81
MN12-SX,58,5.55,10.09 (46),29.83 (54),6.43 (25),41.67,30
B3LYP,3,9.79,10.09 (45),14.03 (30),9.91 (51),42,63;43;46;64;65
SOGGA11-X,21,7.69,9.49 (43),19.01 (43),8.35 (43),43,82
N12-D3(0),27,7.57,9.93 (44),21.43 (48),8.11 (42),44.67,30;58
revPBE,1,11.22,11.33 (49),14.22 (31),11.24 (54),44.67,71
MN15-L,58,6.01,10.92 (47),32.27 (57),7.27 (34),46,33
MN12-L,58,6.23,11.33 (48),33.48 (59),7.14 (32),46.33,31
RPBE,1,11.3,11.41 (52),14.33 (33),11.33 (55),46.67,83
BLYP,1,11.8,11.92 (53),14.96 (35),11.83 (56),48,46;63
M11-L-D3(0),50,6.83,11.38 (50),31.16 (56),8.66 (45),50.33,29;58
t-HCTH,16,9.7,11.39 (51),21.25 (47),10.3 (53),50.33,78
M06-L-D3(0),35,8.56,12.19 (54),28.76 (52),9.86 (50),52,24;58
OLYP,1,14.97,15.12 (58),18.98 (42),14.99 (58),52.67,46;84
M06-L,34,8.85,12.47 (55),29.11 (53),10.13 (52),53.33,24
M11-L,44,8.27,12.93 (56),33.42 (58),9.84 (49),54.33,29
HCTH/407,15,11.48,13.34 (57),24.5 (51),11.96 (57),55,85
SVWN5,1,23.72,23.95 (59),30.08 (55),23.74 (59),57.67,43;86
HF,1,36.34,36.71 (60),46.09 (60),36.37 (60),60,87;88
